test_no,rel,rel_clustered,l_rank,r_rank,l_rank_clustered,r_rank_clustered
325,4,0,16564,3082,118599,251290
326,4,0,2093,87,73142,19328
327,4,0,1746,7864,4259,366980
328,4,0,386,106,895,63560
329,4,0,3102,505,658,253142
330,4,0,3334,1935,1721,67304
331,4,0,528,9102,230,6889
332,4,0,1375,12164,1098,137387
333,4,0,3144,20642,127,58218
334,4,0,29514,23,4652,64988
335,4,0,109211,787,8125,10766
336,4,0,2187,96,4820,36755
337,4,0,25667,31610,2781,623856
338,4,0,670620,924190,1050632,1658857
339,4,0,2137,218,6624,43356
340,4,0,235118,632368,14112,1836922
341,4,0,58049,16032,27968,770759
342,4,0,418,2985,1937,24374
343,4,0,22255,324,8225,3060
344,4,0,7314,629,1257,29235
345,4,0,101124,1206,651613,2065521
346,4,0,47815,326833,5305,44127
347,4,0,208,49,11643,7678
348,4,0,820,167012,3785,947702
349,4,0,11669,90,66807,26658
350,4,0,3165,198,23355,70726
351,4,0,11033,2780,4166,1023
352,4,0,615127,419,27231,23413
353,4,0,6333,841,62819,21976
354,4,0,1525271,1672161,1934799,1718648
355,4,0,3434,1372,97706,269037
356,4,0,175633,1450,182606,4122
357,4,0,575533,10601,200866,1732814
358,4,0,99058,21,2186896,44499
359,4,0,15,437304,1995110,388903
360,4,0,1979050,8267,1018824,227567
361,4,0,10405,33,22507,0
362,4,0,279740,463,27865,91125
363,4,0,2258469,1232787,2190703,823531
364,4,0,464391,607,47504,3203
365,4,0,15466,1439,261383,1689417
366,4,0,125537,23,485991,991
367,4,0,643872,1206,208541,33547
368,4,0,569589,2526,92355,108894
369,4,0,63749,1,1825498,312978
370,4,0,1886971,816500,1278900,290696
371,4,0,394914,2831,243083,881389
372,4,0,512685,10863,1279604,817124
373,4,0,2099944,1026,675980,1229100
374,4,0,2116947,52792,1539292,1937825
375,4,0,288399,1416,1677988,1307666
376,4,0,1010121,1030672,1016267,1277135
377,4,0,1439550,1704128,1726366,1990793
597,13,1,999,349042,664674,737273
598,13,1,284,179920,790413,1308584
599,13,1,2940,560,1931403,394992
600,13,1,5115,510481,520367,1235694
601,13,1,3332,124623,812118,811744
602,13,1,10598,1287901,722,9707
603,13,1,19353,191,2735,224064
604,13,1,3,763,12891,1242884
605,13,1,44814,213920,75392,338875
606,13,1,1770851,727229,1760499,1299738
607,13,1,1491,19232,501336,1298598
608,13,1,4887,1484,1773053,1988536
609,13,1,2125738,25123,1331810,1148859
616,15,0,1644,9152,2575,1397
617,15,0,344,66,335,1212
618,15,0,962495,1209939,1386730,1043424
619,15,0,92351,17461,894866,1230355
620,15,0,6296,113,596,1644
621,15,0,622,39987,1683,45690
622,15,0,15,104,1513,5980
623,15,0,5779,16494,7962,167308
624,15,0,2310,1006,6315,9012
625,15,0,620,9016,4627,24974
626,15,0,1017,3300,3448,183374
627,15,0,2206,1856,1095,1866
628,15,0,246554,1884963,73899,1968307
629,15,0,28326,4276,50743,1439341
630,15,0,42287,463,521333,8605
631,15,0,660952,54833,1935479,923794
632,15,0,1843415,51630,1889473,39051
633,15,0,57295,143087,270028,1717088
634,15,0,72754,1746,1717864,1801367
635,15,0,2109957,965235,2140694,574729
636,15,0,187358,48378,709464,84952
877,29,5,14571,42,563,924263
878,29,5,28011,177220,1065427,592069
879,29,5,387,57,7705,21562
880,29,5,276,2658,13507,21462
881,29,5,2734,3190,2016,11056
882,29,5,7596,615,189909,314633
883,29,5,3586,7108,18460,25954
884,29,5,18466,1077,1246182,1638463
885,29,5,1346,172,3493,943300
886,29,5,6918,300,22799,19036
887,29,5,31132,1239,68394,39517
888,29,5,1943,20323,28759,21979
889,29,5,37056,19,18227,190832
890,29,5,13729,8,3231,123941
891,29,5,172224,89,1508314,1984711
892,29,5,473760,35408,149771,7939
893,29,5,3039,0,24669,129894
894,29,5,486165,1258,1808838,96788
895,29,5,874262,56,55483,1466720
896,29,5,1986405,164793,1167420,2218891
897,30,0,1860,24612,24572,26443
898,30,0,1143923,2068050,1129105,1745635
899,30,0,670725,1899098,773648,1540110
900,30,0,7,4630,901,42567
901,30,0,15118,11879,103226,45057
902,30,0,80066,251676,31750,692340
903,30,0,120534,34237,280624,34193
904,30,0,169,13,13130,810189
905,30,0,36018,33,441770,295737
906,30,0,117303,7059,921596,35673
907,30,0,535381,227028,1164260,2259481
908,30,0,233,110,131290,785270
909,30,0,10,286743,797118,188374
910,30,0,522488,1483842,4090,230593
933,33,22,12221,81528,7984,771883
934,33,22,1679,196,24201,35097
935,33,22,10037,1755,3166,2241
936,33,22,1294155,3815,1773858,1604823
937,33,22,1734062,2746,157517,684038
938,33,22,1998772,269754,437854,1727639
939,33,22,501799,288977,2194454,1860331
940,33,22,1457246,623,895023,1113972
941,33,22,1046065,427154,2101096,1962881
