id,l_rank,r_rank,index,h,t,r
0,577,10199,5103,33,10914,0
1,44185,1021,4602,34,90320,0
2,7407,141,4603,34,95701,0
3,17212,867,7667,106,3890,0
4,26261,3055,3487,123,338,0
5,1029,10390,837,124,338855,0
6,2004049,1573799,3290,205,2263668,0
7,823,25814,3343,212,32131,0
8,1029,276,3285,323,59230,0
9,2121547,1013469,2793,400,352564,0
10,314,4568,8176,427,56840,0
11,12846,3971,6493,456,745187,0
12,268,50,470,493,365,0
13,701,156,467,493,39346,0
14,157,44,1048,507,365,0
15,9037,1,3227,599,2596,0
16,47670,3060,5599,627,3545,0
17,1383,95,958,710,4034,0
18,336,956,361,720,21195,0
19,11334,1679,5772,762,4440,0
20,5861,71917,4730,922,7821,0
21,12254,116,8093,1085,365,0
22,197975,84790,979,1120,491943,0
23,434,1470,4516,1373,543,0
24,448,766910,4495,1646,722907,0
25,51902,188,9777,1672,365,0
26,999,532,7662,2078,153821,0
27,625,568,3757,2129,1023,0
28,25,2164,7907,2137,34,0
29,20,254,5281,2839,3617,0
30,780012,1877103,1075,3117,2263521,0
31,627,8207,201,3766,34962,0
32,4221,28196,8197,3874,14806,0
33,17,91,2265,4189,2041,0
34,1424,2420,4905,4262,1208,0
35,1522,662,3498,5223,2282,0
36,3617,687,5159,5910,6155,0
37,713,3155,4392,5940,666,0
38,1536,27,6093,6840,2596,0
39,60249,2640,7038,7107,738140,0
40,4864,1,2139,7336,2600,0
41,2720,958,4207,7622,3451,0
42,80851,16096,5940,7806,106644,0
43,1593,50,4060,8681,6131,0
44,5176,8534,7466,8683,497448,0
45,681777,1043757,8630,8788,2263881,0
46,24623,11790,6992,9306,21913,0
47,8127,3692,5947,12466,27897,0
48,749,1586,4960,14478,154,0
49,37283,1072,1066,14858,72062,0
50,29060,89,3738,16039,21950,0
51,7025,22,9703,19900,730,0
52,19168,227,2090,20459,191,0
53,60,1,515,23500,4704,0
54,34849,81,1435,24630,365,0
55,32077,25,6906,26229,11407,0
56,73294,14932,7114,28230,684,0
57,54331,3041,4399,28941,1208,0
58,4996,9,4714,31770,4104,0
59,1816762,801288,5234,33762,1158925,0
60,2147033,596,9084,36507,80,0
61,166723,304,2033,36712,79,0
62,495,1128,7867,36852,64,0
63,5699,894,1168,38388,279601,0
64,258663,144,2675,38433,85257,0
65,58,0,5149,39395,1285,0
66,16340,414,5427,41350,52,0
67,43555,170,5789,41814,207,0
68,39959,33,6563,44725,2504,0
69,3413,13,8652,47463,1515,0
70,64375,605,7388,50327,846,0
71,62750,1899408,8907,53740,108802,0
72,98998,32,7743,54632,11407,0
73,14643,10,6796,61473,17597,0
74,51597,4583,2754,62407,127,0
75,279084,33088,6033,64965,333,0
76,22629,345,4725,66061,4409,0
77,623,7611,5153,68838,220938,0
78,223,968,273,70009,1727,0
79,217094,998,4116,71798,3991,0
80,1116143,2047961,4214,71802,213684,0
81,47990,357,6319,71976,80,0
82,214296,1541,8993,73812,795,0
83,63908,175,8362,87603,365,0
84,1874384,2244393,8842,98599,137023,0
85,39168,379,4985,101107,21462,0
86,207026,5434,7296,104829,12017,0
87,182164,2630,1659,125009,218,0
88,95752,2871,7798,126423,309,0
89,262028,10812,3778,142411,342912,0
90,1182178,1633905,6828,173978,390125,0
91,2979,437,7155,174214,1703,0
92,2876,5,1107,216364,10994,0
93,180750,1640,815,231255,365,0
94,2159999,105997,4080,251100,4911,0
95,227219,955,4996,251801,639,0
96,48847,843,9318,264091,703,0
97,31481,43328,5079,273113,313362,0
98,895617,958174,7184,275855,274463,0
99,1492373,7134,5116,298103,9623,0
100,186355,576,2521,324848,833,0
101,142347,55900,4204,411910,102399,0
102,1866607,235880,7958,421814,10051,0
103,31203,633,4490,682217,321077,0
104,907699,404902,6673,696126,154,0
105,521802,1931,1175,829969,32503,0
106,1511836,4513,2277,838733,496369,0
107,1686003,13820,5838,862908,80,0
108,2077644,59179,7892,885953,945,0
109,1503920,40725,1724,907814,4220,0
110,130368,1306601,5561,1069544,482612,0
111,1999801,3314,6925,1086385,130589,0
112,725375,1444271,7397,1093687,74,0
113,892367,1957646,7868,1316232,17,0
114,45343,57,5725,2263117,23383,0
115,954101,930493,6567,2263130,446,0
116,1673319,1346042,9554,2263178,416,0
117,15280,153,2095,91,1244,1
118,47,444,7363,337,664,1
119,40,3441,4110,357,10646,1
120,53768,7280,6274,854,2631,1
121,261,468,4144,1225,21806,1
122,573,245,4211,1561,107,1
123,46586,4767,1635,2309,62868,1
124,726,2439,5563,3532,6367,1
125,667,1446,5863,4398,1950,1
126,2265,882,4926,4752,520,1
127,249,540588,4046,5572,26363,1
128,6118,3695,8512,7421,51421,1
129,757,521,2957,7754,6539,1
130,269,1317,8758,8883,12164,1
131,323,992,5039,8976,278304,1
132,864,7916,5497,10940,4443,1
133,6062,220,5606,11552,4201,1
134,1014,537,1994,12972,48,1
135,1850,11510,1220,13637,115483,1
136,80,2630,1271,17027,86516,1
137,9556,4802,5886,17124,6337,1
138,1380654,9808,4431,18527,6880,1
139,1184,64,4049,21248,478,1
140,5278,38719,5034,21397,321081,1
141,3354,271,4937,21544,10612,1
142,2402,1800,5196,22623,430,1
143,52245,1247,5484,22773,8972,1
144,3343,385,86,29408,562,1
145,165290,408,8697,33490,34169,1
146,23721,2610,640,36273,3091,1
147,62301,1571,3307,46606,52730,1
148,1758,922,1256,50877,13619,1
149,9652,5588,1257,50877,498814,1
150,22611,605,8283,56525,15089,1
151,6769,431,8784,56548,203659,1
152,3690,13122,1241,61172,37939,1
153,10190,38,560,70028,20584,1
154,37154,1038,8976,72193,710,1
155,16088,3979,8683,87611,43440,1
156,67288,1590,350,100513,2660,1
157,51346,789,1475,100663,369,1
158,35167,1651,2756,103977,49631,1
159,219806,1842,7319,157628,7976,1
160,1836,3742,8666,158109,37380,1
161,60607,23838,5086,164213,67328,1
162,210375,7149,8368,165960,3772,1
163,37401,1249,848,171566,3417,1
164,1755787,79033,8916,221647,591504,1
165,47058,130,624,248513,4855,1
166,445335,15733,1185,293860,140069,1
167,288687,8052,165,321851,19723,1
168,1352941,14812,1209,359632,38761,1
169,17365,57033,1251,359738,166000,1
170,1218509,17852,577,404692,463097,1
171,172094,3776,853,405133,20342,1
172,119550,2451,2742,408145,3280,1
173,1428360,23160,3993,411539,312068,1
174,6692,3933,4055,411652,190938,1
175,1684357,489306,8896,424006,429883,1
176,38323,1178,506,464256,7168,1
177,62873,5608,7588,486054,239579,1
178,346100,220523,1244,547962,9042,1
179,131037,14641,2741,552992,8861,1
180,1526419,8327,5537,563543,909962,1
181,258773,15650,351,660784,42953,1
182,1146720,1668617,503,661403,194873,1
183,270774,330813,1197,665100,27842,1
184,609060,1399585,847,827319,320811,1
185,271537,4998,1288,831408,4687,1
186,1003055,4944,4146,850595,427121,1
187,818676,107833,1165,1035109,177488,1
188,54278,241,1232,1036050,2981,1
189,270669,598204,1229,1264774,64765,1
190,2072637,559273,7341,12,1164776,2
191,596,22,8797,24,36452,2
192,498,2260,8484,27,56689,2
193,1302,300,1499,83,7602,2
194,8709,2513,907,134,44903,2
195,8846,7603,6308,220,45182,2
196,89,1969,7830,417,517,2
197,1667591,1346082,8120,466,927788,2
198,362,38,5074,581,77313,2
199,6210,11873,8841,1117,74096,2
200,1215,81,3208,1294,769,2
201,369471,687518,8829,1785,1151878,2
202,79281,4272,9034,2130,384392,2
203,247,1208,9730,2165,29566,2
204,1529,127,5509,3014,1352,2
205,1484468,2170123,7429,3071,449939,2
206,39974,176994,4955,3644,27042,2
207,1140,1834,7321,3686,1272,2
208,8355,38031,9676,3731,23042,2
209,2475,1407339,2116,3814,240220,2
210,13120,6850,4390,4055,429876,2
211,2599,342,5195,4162,132214,2
212,2168,63,348,4534,28533,2
213,879,819,1397,4937,27561,2
214,203,144,7079,4946,15980,2
215,7992,3719,7863,6166,140634,2
216,199,2990,4337,7222,15340,2
217,14963,242,9592,7638,10667,2
218,28137,8545,2097,8186,592996,2
219,519,14,4340,9248,322,2
220,4517,493,1676,9620,4274,2
221,166721,2284,3543,10546,338762,2
222,23458,1780,8566,11076,20155,2
223,1866,803,5996,11861,3310,2
224,31995,3048,7106,12508,54789,2
225,10959,392,599,15022,158769,2
226,4013,123,681,15306,9750,2
227,16306,375,5583,17046,3161,2
228,7225,85,5475,23379,2345,2
229,6134,168,6,34369,6237,2
230,271590,65680,7009,36832,99318,2
231,310,4685,1738,37552,543,2
232,33936,1863,9143,45598,88034,2
233,72136,6092,3732,46627,490,2
234,346663,91996,6733,68949,34955,2
235,18013,6468,2798,94780,50915,2
236,528644,8459,8616,98542,597442,2
237,8374,187791,901,100576,6078,2
238,6781,125539,631,115627,39177,2
239,737757,400781,654,155272,193489,2
240,251128,1388,563,180859,151924,2
241,1932919,29114,3524,192447,1134085,2
242,120689,528,6017,193691,81036,2
243,994469,23154,683,248550,918117,2
244,552038,12125,8922,374099,2623,2
245,491559,35393,8072,376421,1560,2
246,378788,13046,1295,404014,16627,2
247,708,34428,8642,489228,112096,2
248,1736132,60634,6153,565756,735464,2
249,495091,1302805,1887,669598,36490,2
250,572706,908449,7964,707097,10163,2
251,1693378,1867902,2953,842250,1765,2
252,7728,18,5155,857780,12117,2
253,684213,129608,8009,887294,127072,2
254,315664,628,290,1028893,29,2
255,1678630,1770916,6939,1086538,1141927,2
256,159007,231,5231,1162792,4904,2
257,1115138,877204,5804,1294302,378758,2
258,442334,1460548,786,1406945,23354,2
259,1014280,1532866,2130,2263084,722808,2
260,254368,954085,729,63,733459,3
261,504,10710,6392,395,2688,3
262,73,64,6396,395,16989,3
263,1267478,1573587,6395,395,2263785,3
264,1525373,1614560,5380,1295,509038,3
265,1153247,1239399,7768,1334,519773,3
266,51777,6263,4881,1413,61972,3
267,14293,1693,1583,1566,63077,3
268,15810,229,8439,2020,131,3
269,784873,991648,5324,2068,1116156,3
270,45,388,5758,2125,14547,3
271,89,3766,5757,2125,78989,3
272,358,91,5711,2793,465,3
273,18474,311717,6546,2958,319021,3
274,6,40,5971,4210,20636,3
275,3,1552,3496,4345,81760,3
276,19,4319,2897,4951,55292,3
277,41,5616,2896,4951,63685,3
278,12,445,2285,9517,12569,3
279,35,156,8419,11118,21240,3
280,219536,61781,778,11591,34511,3
281,3829,207,3775,17486,6864,3
282,3,162,1026,23194,1739,3
283,23068,2066,4754,25025,40322,3
284,120,290,5508,31163,12164,3
285,54368,27544,7157,31487,132234,3
286,1183656,1712604,6694,35246,2263797,3
287,94,3100,6883,37251,39210,3
288,164,67,7039,40380,5115,3
289,190,6,6405,41377,4668,3
290,80,499,2053,46574,18620,3
291,279,297,5121,46665,603,3
292,78,4157,1485,48639,74900,3
293,23072,8139,7270,49534,12244,3
294,139,2534,5282,51010,43904,3
